the food they serve is not comforting , not appetizing and uncooked .	1,2 FOOD#QUALITY 0 5,7	1,2 FOOD#QUALITY 0 8,10	1,2 FOOD#QUALITY 0 11,12	
supercilious scorn is in .	-1,-1 SERVICE#GENERAL 0 0,1			
single worst restaurant in manhattan	2,3 RESTAURANT#GENERAL 0 1,2			
it is quite a spectacular scene i ' ll give them that .	5,6 AMBIENCE#GENERAL 2 4,5			
how this place survives the competitive west village market in this economy , or any other for that matter , is beyond me .	2,3 RESTAURANT#GENERAL 0 -1,-1			
though it ' s been crowded most times i ' ve gone here , bark always delivers on their food .	14,15 RESTAURANT#MISCELLANEOUS 1 -1,-1	19,20 FOOD#QUALITY 2 -1,-1		
but nonetheless - - great spot , great food .	5,6 RESTAURANT#GENERAL 2 4,5	8,9 FOOD#QUALITY 2 7,8		
the food and service were fine , however the maitre - d was incredibly unwelcoming and arrogant .	1,2 FOOD#QUALITY 2 5,6	3,4 SERVICE#GENERAL 2 5,6	9,12 SERVICE#GENERAL 0 14,15	9,12 SERVICE#GENERAL 0 16,17
a word to the wise : you ca n ' t dine here and disturb the maitre - d ' s sense of ` ` table turnover ' ' , as whacked as it is , or else .	16,19 SERVICE#GENERAL 0 -1,-1			
i had the lamb special which was perfect .	3,5 FOOD#QUALITY 2 7,8			
do n ' t go to this place !	7,8 RESTAURANT#GENERAL 0 -1,-1			
when the main course finally arrived ( another 45mins ) half of our order was missing .	-1,-1 SERVICE#GENERAL 0 -1,-1			
when we threatened to leave , we were offered a meager discount even though half the order was missing .	-1,-1 SERVICE#GENERAL 0 -1,-1			
the bread was stale , the salad was overpriced and empty .	1,2 FOOD#QUALITY 0 3,4	6,7 FOOD#PRICES 0 8,9	6,7 FOOD#STYLE_OPTIONS 0 10,11	
shame on this place for the horrible rude staff and non - existent customer service .	8,9 SERVICE#GENERAL 0 6,7	8,9 SERVICE#GENERAL 0 7,8	13,15 SERVICE#GENERAL 0 10,13	
the food is good .	1,2 FOOD#QUALITY 2 3,4			
yum !	-1,-1 FOOD#QUALITY 2 0,1			
serves really good sushi .	3,4 FOOD#QUALITY 2 2,3			
not the biggest portions but adequate .	3,4 FOOD#STYLE_OPTIONS 1 0,3	3,4 FOOD#STYLE_OPTIONS 1 5,6		
green tea creme brulee is a must !	0,4 FOOD#QUALITY 2 6,7			
it has great sushi and even better service .	3,4 FOOD#QUALITY 2 2,3	7,8 SERVICE#GENERAL 2 6,7		
the entire staff was extremely accomodating and tended to my every need .	2,3 SERVICE#GENERAL 2 5,6			
i ' ve been to this restaurant over a dozen times with no complaints to date .	6,7 RESTAURANT#GENERAL 2 12,14			
the owner is belligerent to guests that have a complaint .	1,2 SERVICE#GENERAL 0 3,4			
good food !	1,2 FOOD#QUALITY 2 0,1			
this is a great place to get a delicious meal .	9,10 FOOD#QUALITY 2 8,9	4,5 RESTAURANT#GENERAL 2 3,4		
the staff is pretty friendly .	1,2 SERVICE#GENERAL 2 4,5			
the onion rings are great !	1,3 FOOD#QUALITY 2 4,5			
the lemon chicken tasted like sticky sweet donuts and the honey walnut prawns , the few they actually give you . . . . . were not good .	1,3 FOOD#QUALITY 0 5,7	10,13 FOOD#QUALITY 0 26,28	10,13 FOOD#STYLE_OPTIONS 0 26,28	
nice ambience , but highly overrated place .	1,2 AMBIENCE#GENERAL 2 0,1	6,7 RESTAURANT#GENERAL 0 5,6		
worst service i ever had	1,2 SERVICE#GENERAL 2 0,1			
everyone that sat in the back outside agreed that it was the worst service we had ever received .	13,14 SERVICE#GENERAL 0 12,13			
our waiter was non - existent and after our food finally arrived over an hour after we ordered , we were not given any water or utensils .	1,2 SERVICE#GENERAL 0 3,6			
i complained to the manager , but he was not even apologetic .	4,5 SERVICE#GENERAL 0 9,12			
fabulous italian food !	1,3 FOOD#QUALITY 2 0,1			
– i highly recommend mioposto .	4,5 RESTAURANT#GENERAL 2 3,4			
i am so happy to have a wonderful italian restaurant in my neighborhood .	8,10 RESTAURANT#GENERAL 2 7,8	8,10 RESTAURANT#GENERAL 2 3,4		
the wine list is wonderful and the food reminds me of my recent trip to italy .	1,3 DRINKS#STYLE_OPTIONS 2 4,5	7,8 FOOD#QUALITY 2 -1,-1		
i love this restaurant	3,4 RESTAURANT#GENERAL 2 1,2			
– i will never forget the amazing meal , service , and ambiance i experience at this restaurant .	7,8 FOOD#QUALITY 2 6,7	9,10 SERVICE#GENERAL 2 6,7	12,13 AMBIENCE#GENERAL 2 6,7	
i have not a bad thing to say about this place .	10,11 RESTAURANT#GENERAL 2 2,5			
the food was great !	1,2 FOOD#QUALITY 2 3,4			
it ' s * very * reasonably priced , esp for the quality of the food .	15,16 FOOD#QUALITY 2 6,7	15,16 FOOD#PRICES 2 6,7		
i had the kafta plate and it was perfect .	3,5 FOOD#QUALITY 2 8,9			
– in a age of incremental cost cutting in restaurants , its nice to see a place that bucks that trend , and just plain delivers high quality food and good service , period .	28,29 FOOD#QUALITY 2 26,28	31,32 SERVICE#GENERAL 2 30,31		
this is the place to relax and enjoy the finest quality food the industry can offer .	3,4 AMBIENCE#GENERAL 2 5,6	3,4 AMBIENCE#GENERAL 2 7,8	11,12 FOOD#QUALITY 2 9,11	
caution - its real food for people who love the best .	4,5 FOOD#QUALITY 2 3,4	4,5 FOOD#QUALITY 2 10,11		
i liked the atmosphere very much but the food was not worth the price .	3,4 AMBIENCE#GENERAL 2 1,2	8,9 FOOD#QUALITY 0 10,12	8,9 FOOD#PRICES 0 10,12	
i may not be a sushi guru but i can tell you that the food here is just okay and that there is not much else to it .	14,15 FOOD#QUALITY 0 18,19			
rice is too dry , tuna was n ' t so fresh either .	0,1 FOOD#QUALITY 0 3,4	5,6 FOOD#QUALITY 0 7,12		
i have eaten here three times and have found the quality and variety of the fish to be excellent .	15,16 FOOD#QUALITY 2 18,19	15,16 FOOD#STYLE_OPTIONS 2 18,19		
however , the value and service are both severely lacking .	5,6 SERVICE#GENERAL 0 9,10	3,4 RESTAURANT#PRICES 0 9,10		
furthermore , while the fish is unquestionably fresh , rolls tend to be inexplicably bland .	4,5 FOOD#QUALITY 2 7,8	9,10 FOOD#QUALITY 0 14,15		
the service ranges from mediocre to offensive .	1,2 SERVICE#GENERAL 0 4,5	1,2 SERVICE#GENERAL 0 6,7		
on a recent trip , our waiter was extremely dismissive , while no less than three staff members waited hand - and - foot on a pair of japanese girls seated nearby .	6,7 SERVICE#GENERAL 0 9,10	16,18 SERVICE#GENERAL 0 -1,-1		
freshest sushi – i love this restaurant .	1,2 FOOD#QUALITY 2 0,1	6,7 RESTAURANT#GENERAL 2 4,5		
they pay such detail to everything from miso soup to complex rolls .	7,9 FOOD#QUALITY 2 -1,-1	11,12 FOOD#QUALITY 2 10,11		
the sashimi was the freshest and most tender i have ever tasted .	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#QUALITY 2 7,8		
their apps are all delicious .	1,2 FOOD#QUALITY 2 4,5			
the only drawback is that this place is really expensive and the portions are on the small side .	6,7 RESTAURANT#PRICES 0 9,10	12,13 FOOD#STYLE_OPTIONS 0 16,17		
but the space is small and lovely , and the service is helpful .	2,3 AMBIENCE#GENERAL 2 4,5	2,3 AMBIENCE#GENERAL 2 6,7	10,11 SERVICE#GENERAL 2 12,13	
– the food was not great & the waiters were rude .	2,3 FOOD#QUALITY 0 4,6	8,9 SERVICE#GENERAL 0 10,11		
great service	1,2 SERVICE#GENERAL 2 0,1			
my service was stellar !	1,2 SERVICE#GENERAL 2 3,4			
the bus boy even spotted that my table was shaking a stabilized it for me .	1,3 SERVICE#GENERAL 2 -1,-1			
food was fine , with a some little - tastier - than - normal salsa .	0,1 FOOD#QUALITY 2 2,3	14,15 FOOD#QUALITY 2 2,3		
the food was great , the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me .	1,2 FOOD#QUALITY 2 3,4	6,7 FOOD#QUALITY 2 3,4	10,11 SERVICE#GENERAL 0 13,14	
mama mia – i live in the neighborhood and feel lucky to live by such a great pizza place .	17,19 RESTAURANT#GENERAL 2 16,17			
the only problem is you really have to warm up the pizza before it ' s edible , even when you order ahead .	11,12 FOOD#QUALITY 0 2,3			
but once done , it ' s not too much dough , not too much cheese , not too much sauce .	-1,-1 FOOD#QUALITY 2 -1,-1			
best sushi in town .	1,2 FOOD#QUALITY 2 0,1			
the best calamari in seattle !	2,3 FOOD#QUALITY 2 1,2			
– . . . and the best summertime deck experience - - they will even bring you a blanket if you get cold in the seattle evening weather .	8,9 AMBIENCE#GENERAL 2 6,7	-1,-1 SERVICE#GENERAL 2 6,7		
a perfect place to take out of town guests any time of the year .	2,3 RESTAURANT#GENERAL 2 1,2			
endless fun , awesome music , great staff ! ! !	4,5 AMBIENCE#GENERAL 2 3,4	7,8 SERVICE#GENERAL 2 6,7	-1,-1 RESTAURANT#GENERAL 2 1,2	
– by far the best bar in the east village . . .	5,6 RESTAURANT#GENERAL 2 4,5			
great draft and bottle selection and the pizza rocks .	1,5 DRINKS#STYLE_OPTIONS 2 0,1	7,8 FOOD#QUALITY 2 0,1		
definitely has one of the best jukebox ' s i ' ve seen in a long long time .	6,9 AMBIENCE#GENERAL 2 5,6			
the food is great , the bartenders go that extra mile .	1,2 FOOD#QUALITY 2 3,4	6,7 SERVICE#GENERAL 2 -1,-1		
the owners are great fun and the beer selection is worth staying for .	1,2 SERVICE#GENERAL 2 3,4	1,2 SERVICE#GENERAL 2 4,5	7,9 DRINKS#STYLE_OPTIONS 2 10,13	
and the upstairs is a great place to hang out .	2,3 AMBIENCE#GENERAL 2 5,6			
not alot of smoking places left in new york , but i have found my favorite smoking balconey in the city .	17,18 RESTAURANT#MISCELLANEOUS 2 15,16			
the sushi here is delicious !	1,2 FOOD#QUALITY 2 4,5			
they have a wide variety of fish and they even list which oceans they come from ; atlantic or pacific .	6,7 FOOD#STYLE_OPTIONS 2 3,4			
i ' ve had the jellyfish , horse mackerel , blue fin tuna and the sake ikura roll among others , and they were all good .	5,6 FOOD#QUALITY 2 25,26	7,9 FOOD#QUALITY 2 25,26	10,13 FOOD#QUALITY 2 25,26	15,18 FOOD#QUALITY 2 25,26
my only negative comment is that i wish the pieces were a little bigger .	9,10 FOOD#STYLE_OPTIONS 0 -1,-1			
the decor is rustic , traditional japanese .	1,2 AMBIENCE#GENERAL 1 3,4	1,2 AMBIENCE#GENERAL 1 5,7		
the crowd is mixed yuppies , young and old .	1,2 RESTAURANT#MISCELLANEOUS 1 -1,-1			
the service was courteous and attentive .	1,2 SERVICE#GENERAL 2 3,4	1,2 SERVICE#GENERAL 2 5,6		
mediocre food	1,2 FOOD#QUALITY 1 0,1			
the outside patio area has an abbreviated menu .	7,8 FOOD#STYLE_OPTIONS 1 6,7			
my g / f and i both agreed the food was very mediocre especially considering the price .	9,10 FOOD#QUALITY 0 12,13	9,10 FOOD#PRICES 0 12,13		
we are locals , and get the feeling the only way this place survives with such average food is because most customers are probably one - time customer tourists .	12,13 RESTAURANT#GENERAL 0 -1,-1	17,18 FOOD#QUALITY 0 16,17		
service was decent .	0,1 SERVICE#GENERAL 1 2,3			
drinks were good .	0,1 DRINKS#QUALITY 2 2,3			
excellent food , nice ambience , fairly expensive	1,2 FOOD#QUALITY 2 0,1	4,5 AMBIENCE#GENERAL 2 3,4	-1,-1 RESTAURANT#PRICES 0 7,8	
– i loved the pumpkin ravioli and the goat cheese gnocchi ( 5 big ones to a plate instead of 20 or so little gnocchis ) and my sister loved her filet mignon on top of spinach and mashed potatoes .	4,6 FOOD#QUALITY 2 2,3	8,11 FOOD#QUALITY 2 2,3	8,11 FOOD#STYLE_OPTIONS 2 -1,-1	31,40 FOOD#QUALITY 2 29,30
the ambiance was a peaceful and relaxing break amongst all the kids running around in downtown disney .	1,2 AMBIENCE#GENERAL 2 4,5	1,2 AMBIENCE#GENERAL 2 6,7		
best indian food in l . a .	1,3 FOOD#QUALITY 2 0,1			
the chicken curry and chicken tikka masala are my favorite meat dishes .	1,3 FOOD#QUALITY 2 9,10	4,7 FOOD#QUALITY 2 9,10		
the chana masala ( garbanzo beans ) are also excellent .	1,7 FOOD#QUALITY 2 8,9			
it ' s located in a strip mall near the beverly center , not the greatest location , but the food keeps me coming back for more .	16,17 LOCATION#GENERAL 1 13,16	20,21 FOOD#QUALITY 2 -1,-1		
never too crowded and always great service .	6,7 SERVICE#GENERAL 2 5,6	-1,-1 RESTAURANT#MISCELLANEOUS 2 0,3		
i think i have probably tried each item on their menu at least once it is all excellent .	10,11 FOOD#QUALITY 2 17,18			
i can highly recommend their various saag and paneer and korma .	6,7 FOOD#QUALITY 2 3,4	8,9 FOOD#QUALITY 2 3,4	10,11 FOOD#QUALITY 2 3,4	
i appreciate their delivery too .	3,4 SERVICE#GENERAL 2 1,2			
nice food but no spice !	1,2 FOOD#QUALITY 2 0,1	1,2 FOOD#QUALITY 0 -1,-1		
– i really enjoyed my meal here .	5,6 FOOD#QUALITY 2 3,4			
i had yummy lamb korma , saag paneer , samosas , naan , etc .	3,5 FOOD#QUALITY 2 2,3	6,8 FOOD#QUALITY 2 2,3	9,10 FOOD#QUALITY 2 2,3	11,12 FOOD#QUALITY 2 2,3
the food was all good but it was way too mild .	1,2 FOOD#QUALITY 2 4,5	1,2 FOOD#QUALITY 0 9,11		
the naan was some of the best i ' ve had and i really enjoyed the bhartha , not too tomatoey .	1,2 FOOD#QUALITY 2 6,7	16,17 FOOD#QUALITY 2 14,15		
even the chickpeas , which i normally find too dry , were good .	2,3 FOOD#QUALITY 2 12,13			
– i do n ' t understand how i was a stranger to this place for so long . . . the fajita salad , the colorado , the fajitas - everything is delicious .	22,24 FOOD#QUALITY 2 33,34	26,27 FOOD#QUALITY 2 33,34	29,30 FOOD#QUALITY 2 33,34	-1,-1 FOOD#QUALITY 2 33,34
i love the warm & cosy environment .	6,7 AMBIENCE#GENERAL 2 3,4	6,7 AMBIENCE#GENERAL 2 5,6		
i just found out that you can have the place to yourself on nights and weekends for a private party - ca n ' t wait to celebrate my next birthday there .	9,10 RESTAURANT#MISCELLANEOUS 2 -1,-1			
best restaurant in the world , great decor , great customer service , friendly manager	1,2 RESTAURANT#GENERAL 2 0,1	7,8 AMBIENCE#GENERAL 2 6,7	10,12 SERVICE#GENERAL 2 9,10	14,15 SERVICE#GENERAL 2 13,14
i am never disappointed with there food .	6,7 FOOD#QUALITY 2 2,4			
the atmosphere is great .	1,2 AMBIENCE#GENERAL 2 3,4			
great lunch spot	1,3 RESTAURANT#GENERAL 2 0,1			
– great financial district mexican spot .	4,6 RESTAURANT#GENERAL 2 1,2			
always busy , but they are good at seating you promptly and have quick service .	14,15 SERVICE#GENERAL 2 13,14	-1,-1 SERVICE#GENERAL 2 6,7		
also have great margaritas !	3,4 DRINKS#QUALITY 2 2,3			
the food is simply unforgettable !	1,2 FOOD#QUALITY 2 4,5			
the presentation of the food was an added bonus , it looked just as great as it tasted !	4,5 FOOD#QUALITY 2 14,15	4,5 FOOD#STYLE_OPTIONS 2 8,9		
my best friend had the chicken shawarma and she still raves about it being the best anywhere !	5,7 FOOD#QUALITY 2 1,2			
the staff are friendly and the decor was ethic and colorful .	1,2 SERVICE#GENERAL 2 3,4	6,7 AMBIENCE#GENERAL 2 8,9	6,7 AMBIENCE#GENERAL 2 10,11	
go to open sesame ! ! !	2,4 RESTAURANT#GENERAL 2 -1,-1			
holy hummus !	1,2 FOOD#QUALITY 2 0,1			
– the food is here is incredible , though the quality is inconsistent during lunch .	2,3 FOOD#QUALITY 2 6,7	14,15 FOOD#QUALITY 0 12,13		
dinners have always been excellent , in terms of food quality .	0,1 FOOD#QUALITY 2 4,5			
the open sesame combo plate is a bargain for the heap of food given .	1,5 FOOD#PRICES 2 7,8	1,5 FOOD#STYLE_OPTIONS 2 -1,-1		
the side of potatoes is to die for , as is the labne ( yogurt dip ) .	1,4 FOOD#QUALITY 2 6,8	12,17 FOOD#QUALITY 2 6,8		
also , they serve the best hummus in america , with a drizzle of fragrant olive oil ( which , i believe is the traditional way ) !	6,7 FOOD#QUALITY 2 5,6	6,7 FOOD#STYLE_OPTIONS 2 5,6		
the only drawback is the crowded seating and the slow service .	6,7 RESTAURANT#MISCELLANEOUS 0 5,6	10,11 SERVICE#GENERAL 0 9,10		
however , this place is a gem , and i wo n ' t stop going back .	3,4 RESTAURANT#GENERAL 2 6,7			
great beer	1,2 DRINKS#QUALITY 2 0,1			
– my first time to dine at this restaurant was with my son and it was absolutely horrible !	8,9 RESTAURANT#GENERAL 0 17,18			
i swore never to return for a warm beer and mediocre meal .	8,9 DRINKS#QUALITY 0 7,8	11,12 FOOD#QUALITY 0 10,11		
the band was very good and the service was attentive .	1,2 AMBIENCE#GENERAL 2 4,5	7,8 SERVICE#GENERAL 2 9,10		
we ordered a selection of the small plates , and the shoe string onions , goat cheese pizza , grilled asparagus and fried brie with fruit were all very good .	11,14 FOOD#QUALITY 2 29,30	15,18 FOOD#QUALITY 2 29,30	19,21 FOOD#QUALITY 2 29,30	22,26 FOOD#QUALITY 2 29,30
seattle ' s best winelist	4,5 DRINKS#STYLE_OPTIONS 2 3,4			
– ray ' s ( suprisingly ) has the city ' s best & most diverse wine list .	15,17 DRINKS#STYLE_OPTIONS 2 14,15			
the sommelier is fantastic , down - to - earth , & extremely knowlegable .	1,2 SERVICE#GENERAL 2 3,4	1,2 SERVICE#GENERAL 2 5,10	1,2 SERVICE#GENERAL 2 13,14	
i would go back for the wine experience alone .	6,7 DRINKS#QUALITY 0 -1,-1			
not the place it once was	2,3 RESTAURANT#GENERAL 0 -1,-1			
perhaps now , scooner or later falls into the ` ` dive ' ' category .	3,6 RESTAURANT#GENERAL 0 -1,-1			
– it is sad to see a place that was once ` ` the ' ' place to meet and eat for bfast or lunch , now be the place that is a big ` ` dont bother . ' '	7,8 RESTAURANT#GENERAL 0 3,4			
the food is not what it once was ( potions have seriously seen downsizing ) prices have gone up , and the service is the worst i have experienced anywhere ( including mainland europe ) .	1,2 FOOD#QUALITY 0 -1,-1	1,2 FOOD#PRICES 0 -1,-1	21,22 SERVICE#GENERAL 0 24,25	22,23 SERVICE#GENERAL 0 25,26
what may be interesting to most is the worst sevice / attitude comes from the owners of this establishment .	15,16 SERVICE#GENERAL 0 8,9			
this establishment really made a marked decline after ( and this is recurring story ) the airing of food televisions ` ` diners , drive - ins , and dives ' ' hosted by guy fieri , in which schooner or later was subject of .	1,2 RESTAURANT#GENERAL 0 -1,-1			
open & cool place with the best pizza and coffee	3,4 AMBIENCE#GENERAL 2 2,3	7,8 FOOD#QUALITY 2 6,7	9,10 FOOD#QUALITY 2 6,7	
– mioposto has a very creative & delicious pizza menu .	8,10 FOOD#QUALITY 2 7,8	8,10 FOOD#STYLE_OPTIONS 2 5,6		
the coffe is very good , too .	1,2 DRINKS#QUALITY 2 4,5			
great open and friendly ambience .	4,5 AMBIENCE#GENERAL 2 0,1	4,5 AMBIENCE#GENERAL 2 1,2	4,5 AMBIENCE#GENERAL 2 3,4	
this place is charming and relaxing .	1,2 AMBIENCE#GENERAL 2 3,4	1,2 AMBIENCE#GENERAL 2 5,6		
the servers behind the counter are always friendly and helpful .	1,5 SERVICE#GENERAL 2 7,8	1,5 SERVICE#GENERAL 2 9,10		
it ' s a great place to enjoy food and meet friends .	8,9 FOOD#QUALITY 2 7,8	5,6 RESTAURANT#MISCELLANEOUS 2 4,5		
great food , spectacular location , and friendly service keep us coming back year after year .	1,2 FOOD#QUALITY 2 0,1	4,5 LOCATION#GENERAL 2 3,4	8,9 SERVICE#GENERAL 2 7,8	
enjoyed the food	2,3 FOOD#QUALITY 2 0,1			
food was good and cheap .	0,1 FOOD#QUALITY 2 2,3	0,1 FOOD#PRICES 2 4,5		
i had the kafta plate and i enjoyed it .	3,5 FOOD#QUALITY 2 7,8			
atmosphere was nice .	0,1 AMBIENCE#GENERAL 2 2,3			
service was kind of slow , our waitress took forever to give us our check even though it was n ' t that busy .	0,1 SERVICE#GENERAL 0 4,5	7,8 SERVICE#GENERAL 0 -1,-1		
still i would recommend this place .	5,6 RESTAURANT#GENERAL 2 3,4			
what else can you say nice people amazing food wow	8,9 FOOD#QUALITY 2 7,8	6,7 SERVICE#GENERAL 2 5,6	-1,-1 RESTAURANT#GENERAL 2 -1,-1	
great food with an awesome atmosphere !	1,2 FOOD#QUALITY 2 0,1	5,6 AMBIENCE#GENERAL 2 4,5		
the best place for a leisure sunday breakfast amidst yachts , then take a stroll through the nearby farmer ' s market .	2,3 RESTAURANT#MISCELLANEOUS 2 1,2			
great meal – the fish on the omikase platter was absolutely decadent - - there was none of the stringiness that sometimes accompanies fair sushi - - this fish was perfect ! ! ! !	1,2 FOOD#QUALITY 2 0,1	4,9 FOOD#QUALITY 2 11,12	4,9 FOOD#QUALITY 2 30,31	
plus , i am allergic to rice , and the waitstaff was unbelievably accomodating - - did n ' t even bat an eye !	10,11 SERVICE#GENERAL 2 13,14			
and the waiter suggested a perfect sake ! !	2,3 SERVICE#GENERAL 2 -1,-1	6,7 DRINKS#QUALITY 2 5,6		
unbeatable sushi !	1,2 FOOD#QUALITY 2 0,1			
melt in your mouth nigiri and sashmi , and very tasty rolls too .	4,5 FOOD#QUALITY 2 -1,-1	6,7 FOOD#QUALITY 2 -1,-1	11,12 FOOD#QUALITY 2 10,11	
be sure to try the oyster roll .	5,7 FOOD#QUALITY 2 3,4			
i ca n ' t saybenough good things about this restaurant , and i ca n ' t wait for my next several visits .	10,11 RESTAURANT#GENERAL 2 6,7			
the best chuwam mushi i have ever had .	2,4 FOOD#QUALITY 2 1,2			
good sushi , high price	1,2 FOOD#QUALITY 2 0,1	1,2 FOOD#PRICES 0 3,4		
one of the best sushi place in town .	4,6 RESTAURANT#GENERAL 2 3,4			
the house special roll is really good .	1,4 FOOD#QUALITY 2 6,7			
brunch at murphy ' s is to die for , my specialty . . . egg white omelet , the food is always freshly prepared .	0,1 FOOD#QUALITY 2 -1,-1	15,18 FOOD#QUALITY 2 23,25	20,21 FOOD#QUALITY 2 23,25	
it ' s the perfect spot for a romantic date for 2 or a secret rendezvous !	5,6 RESTAURANT#MISCELLANEOUS 2 4,5	5,6 AMBIENCE#GENERAL 2 4,5		
save room for scrumptious desserts .	4,5 FOOD#QUALITY 2 3,4			
the restaurant offers an extensive wine list and an ambiance you wo n ' t forget !	5,7 DRINKS#STYLE_OPTIONS 2 4,5	9,10 AMBIENCE#GENERAL 2 -1,-1		
– best mexican place for lunch in the financial district .	2,4 RESTAURANT#GENERAL 2 1,2			
love the enchiladas and chicken soup - and be sure to check out their specials .	2,3 FOOD#QUALITY 2 0,1	4,6 FOOD#QUALITY 2 0,1	14,15 FOOD#QUALITY 2 -1,-1	
the cooks have been at the restaurant for years and cook family recipes .	1,2 FOOD#QUALITY 2 -1,-1			
can get busy on fridays for a table but once seated , the service is so efficient you can be in and out of there quickly .	13,14 SERVICE#GENERAL 2 16,17			
the sushi was excellent and the wait staff was quick .	1,2 FOOD#QUALITY 2 3,4	6,8 SERVICE#GENERAL 2 9,10		
the atmosphere was just okay .	1,2 AMBIENCE#GENERAL 1 4,5			
space was limited , but the food made up for it .	0,1 RESTAURANT#MISCELLANEOUS 0 2,3	6,7 FOOD#QUALITY 2 -1,-1		
we stood there for 10 minutes while employees walked back and forth ignoring us .	7,8 SERVICE#GENERAL 0 12,13			
finally , my wife stood face to face in front of one of the staff and she asked , ` ` are you waiting for a table ? ' '	14,15 SERVICE#GENERAL 0 -1,-1			
the caesar salad i ordered had so much lemon i could n ' t eat it .	1,3 FOOD#QUALITY 0 -1,-1			
great food , better margaritas !	1,2 FOOD#QUALITY 2 0,1	4,5 DRINKS#QUALITY 2 3,4		
– this is one of my top lunch spots , huge portions , fast service and amazing margaritas ! !	11,12 FOOD#STYLE_OPTIONS 2 10,11	14,15 SERVICE#GENERAL 2 13,14	17,18 DRINKS#QUALITY 2 16,17	-1,-1 RESTAURANT#GENERAL 2 6,7
it gets really busy , so get there on the early side so you can grab a seat , if you do have to wait , its not bad because the service is quick !	31,32 SERVICE#GENERAL 2 33,34			
check out the art on the walls , very colorful !	3,7 AMBIENCE#GENERAL 2 9,10			
i love this place !	3,4 RESTAURANT#GENERAL 2 1,2			
– i have been eating at this place for over 8 years now and i have never had one bad meal .	20,21 FOOD#QUALITY 2 19,20			
i highly recommend this place to all that want to try indain food for the first time .	11,13 FOOD#QUALITY 2 2,3			
the lunch menu is an awesome deal !	1,3 FOOD#PRICES 2 5,6			
plenty of food , trust me .	2,3 FOOD#STYLE_OPTIONS 2 0,2			
fresh ingrediants and super tasty .	1,2 FOOD#QUALITY 2 0,1	-1,-1 FOOD#QUALITY 2 3,4		
best food , phenominal service	1,2 FOOD#QUALITY 2 0,1	4,5 SERVICE#GENERAL 2 3,4		
for the finicky sushi eater and those who have sampled the best nyc has to offer , the fish is the freshest and the service is superb .	18,19 FOOD#QUALITY 2 21,22	24,25 SERVICE#GENERAL 2 26,27		
not only can the selection be innovative , but there ' s a nice balance of traditional sushi as well .	4,5 FOOD#STYLE_OPTIONS 2 6,7	17,18 FOOD#STYLE_OPTIONS 2 13,14		
the nicest waiters in town .	2,3 SERVICE#GENERAL 2 1,2			
– this place is unbelievably over - rated .	2,3 RESTAURANT#GENERAL 0 5,8			
if i want to stand in line on sunday for an hour to get average brunch food , then i would put murphy ' s at the top of the list .	15,17 FOOD#QUALITY 1 14,15	-1,-1 SERVICE#GENERAL 0 -1,-1		
the regular menu here is slightly above average that is not worth the snotty attitude that you receive .	1,3 FOOD#QUALITY 1 6,8	1,3 FOOD#QUALITY 1 10,12	-1,-1 SERVICE#GENERAL 0 13,14	
there is only one place on the east coast that has it all , plus a lot more .	4,5 RESTAURANT#GENERAL 2 -1,-1			
bring your cell phone cause you may have to wait to get into the best sushi restaurant in the world : blue ribbon sushi .	21,24 RESTAURANT#GENERAL 2 14,15			
hands down , the best tuna i have ever had .	5,6 FOOD#QUALITY 2 4,5			
blue ribbon lives up to it ' s fantastic reputation .	0,2 RESTAURANT#GENERAL 2 8,9			
great value sushi with high quality & nice setting .	2,3 FOOD#PRICES 2 0,1	2,3 FOOD#PRICES 2 1,2	2,3 FOOD#QUALITY 2 4,5	8,9 AMBIENCE#GENERAL 2 7,8
try the chef ' s choice for sushi as the smoked yellowtail was incredible and the rolls were also tasty .	2,8 FOOD#QUALITY 2 -1,-1	16,17 FOOD#QUALITY 2 19,20	10,12 FOOD#QUALITY 2 13,14	
poor customer service / poor pizza .	1,3 SERVICE#GENERAL 0 0,1	5,6 FOOD#QUALITY 0 4,5		
– as with most restaurants in seattle , mioposto ' s service was bad and the food was overpriced .	11,12 SERVICE#GENERAL 0 13,14	16,17 FOOD#PRICES 0 18,19		
i know many people have their favorite types of pizza and pizza places , but mioposto ' s pizza lacks quality and good taste .	18,19 FOOD#QUALITY 0 19,21			
to be honest , i ' ve had better frozen pizza .	10,11 FOOD#QUALITY 0 8,9			
the only positive thing about mioposto is the nice location .	9,10 LOCATION#GENERAL 2 8,9	5,6 RESTAURANT#GENERAL 0 -1,-1		
i was frankly shocked when i read the bad reviews - this place is fantastic ; it has not let us down in any way , and we ' ve eaten here more than 10 times .	12,13 RESTAURANT#GENERAL 2 14,15			
the food is fantastic , and the waiting staff has been perfect every single time we ' ve been there .	1,2 FOOD#QUALITY 2 3,4	7,9 SERVICE#GENERAL 2 11,12		
the only problem would be the wait , but we usually just have a drink in the front while waiting .	6,7 SERVICE#GENERAL 1 -1,-1			
seabass on lobster risotto was the best .	0,4 FOOD#QUALITY 2 6,7			
caesar salad was superb .	0,2 FOOD#QUALITY 2 3,4			
great bottle of wine .	1,4 DRINKS#QUALITY 2 0,1			
leave room for dessert .	3,4 FOOD#QUALITY 2 -1,-1			
